counts	instances_pre	instances_post
1	3196	1530
2	1827	969
3	1147	678
4	789	465
5	571	355
6	410	259
7	339	210
8	242	165
9	184	112
10	173	98
11	134	92
12	93	68
13	72	61
14	66	38
15	58	43
16	61	45
17	65	34
18	42	24
19	36	25
20	27	26
21	36	25
22	37	27
23	24	23
24	12	15
25	16	17
26	9	12
27	15	14
28	15	15
29	15	10
30	8	12
31	10	6
32	6	6
33	13	7
34	11	7
35	7	6
36	5	4
37	4	3
38	5	4
39	7	8
40	3	6
41	7	6
42	6	3
43	1	2
44	8	7
45	3	3
46	10	3
47	5	3
48	4	3
49	2	5
50	2	4
51	3	2
52	7	3
53	3	1
54	1	2
55	0	2
56	3	0
58	4	1
59	6	0
60	2	2
61	3	0
62	2	0
63	1	0
64	1	2
65	2	1
66	2	0
67	2	2
68	3	2
69	2	1
70	0	1
71	0	3
72	2	0
74	2	0
75	1	1
76	1	0
77	0	2
78	3	3
79	2	2
80	1	0
81	1	1
82	2	1
83	2	0
84	1	1
85	3	3
86	2	0
87	0	2
89	2	1
90	2	1
91	0	2
93	0	1
94	0	1
95	1	0
97	1	2
98	0	1
99	1	0
100	1	0
102	1	0
103	2	0
104	0	2
105	0	2
109	0	1
113	0	1
114	0	1
119	0	1
124	1	1
129	1	0
130	1	1
131	1	0
133	1	1
134	1	0
136	0	1
145	2	0
146	1	1
147	0	1
152	0	1
156	0	1
159	1	0
161	0	1
165	1	0
172	1	0
173	1	0
187	1	0
190	0	2
204	0	1
207	1	0
209	1	0
210	0	1
216	1	0
220	1	0
221	1	0
226	0	1
227	0	1
228	1	0
234	2	0
235	1	0
236	0	1
241	0	1
246	0	1
258	2	0
261	0	1
279	1	0
281	0	1
286	1	0
288	1	0
290	0	1
293	1	0
304	0	1
345	1	0
351	0	1
353	1	0
361	0	1
387	1	0
401	1	0
407	1	0
415	1	1
417	1	0
418	0	1
424	1	0
457	1	0
474	0	1
493	0	1
500	1	0
517	0	1
535	1	0
554	1	0
566	1	0
569	1	0
578	0	1
594	1	0
601	0	1
618	1	0
621	0	2
647	0	1
659	1	0
696	1	0
698	0	1
767	0	1
779	0	1
792	0	1
821	1	0
837	1	0
895	1	0
927	1	0
936	1	0
948	1	0
956	0	1
960	0	1
972	0	1
981	1	0
1007	0	1
1075	1	0
1112	0	1
1150	1	0
1154	1	0
1178	1	0
1197	1	0
1208	0	1
1212	0	1
1225	1	0
1340	1	0
1377	0	1
1410	1	0
1458	0	1
1481	0	1
1626	0	1
1629	1	0
1727	0	1
1790	0	1
1847	1	0
1882	0	1
1987	0	1
1991	0	1
2004	0	1
2093	0	1
2282	0	1
2331	0	1
2350	0	1
3021	0	1
